Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C12, C8",0402,4,1uF,C52923
"C10, C13, C16, C17, C18, C19, C2, C20, C21, C22, C23, C3, C4, C5, C6, C7, C9",0402,17,100nF,C1525
"C14, C15",0402,2,30pF,C1570
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D7, D8, D9",D_SOD-323,60,1N4148W,C2128
F1,0603,1,0603L050/6AR,C163116
"FB1, FB2",0603,2,BLM18SG700TZ1D,C1002
"R1, R2",0402,2,5.1K,C25905
"R10, R4",0402,2,1K,C11702
"R3, R7",0402,2,10K,C25744
"R5, R6",0402,2,27R,C321419
"SW10, SW11, SW13, SW14, SW15, SW16, SW17, SW18, SW19, SW2, SW20, SW21, SW22, SW23, SW24, SW25, SW26, SW27, SW28, SW29, SW3, SW30, SW31, SW32, SW33, SW34, SW35, SW36, SW38, SW39, SW4, SW40, SW41, SW42, SW43, SW44, SW45, SW46, SW47, SW5, SW50, SW51, SW52, SW53, SW54, SW55, SW56, SW57, SW58, SW59, SW6, SW61, SW62, SW63, SW64, SW65, SW66, SW7, SW8, SW9",SW_MX_HotSwap,60,PG151101S11,C2803348
"SW67, SW68",YTSA010,2,YTSA010,C967783
U1,SOT-23-5,1,SPX3819M5-L-3-3/TR,C9055
U2,USON-8_4x3mm_P0.8mm,1,W25Q32JVUUIQ,C2999380
U3,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U4,SOT-23-5,1,SN74LV1T34DBV,C100024
U5,SOT-23-6,1,SRV05-4,C20615829
USB1,HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,C165948
Y1,Crystal_SMD_2520-4Pin_2.5x2.0mm,1,TXM12M0004252LBCEO00T,C284156
