Designator,Mid X,Mid Y,Rotation,Layer
C1,68.92,-74.29,90.0,bottom
C10,72.24,-78.88,180.0,bottom
C11,47.79,-56.67,270.0,bottom
C12,47.78,-58.56,90.0,bottom
C13,76.05,-80.65,90.0,bottom
C14,55.69,-83.87,270.0,bottom
C15,57.18,-80.62,0.0,bottom
C16,39.63,-58.37,90.0,bottom
C17,44.63,-58.35,270.0,bottom
C18,249.15,-58.4,90.0,bottom
C19,254.18,-58.44,270.0,bottom
C2,64.34,-84.475,180.0,bottom
C20,43.9,-100.51,0.0,bottom
C21,40.6,-100.51,0.0,bottom
C22,253.31,-101.09,0.0,bottom
C23,250.0075,-101.09,0.0,bottom
C3,64.52,-73.74,90.0,bottom
C4,69.63,-83.99,180.0,bottom
C5,72.24,-77.96,180.0,bottom
C6,58.96,-79.11,0.0,bottom
C7,68.0,-74.29,90.0,bottom
C8,58.96,-78.19,0.0,bottom
C9,69.84,-74.29,90.0,bottom
D1,50.9,-52.45,90.0,bottom
D10,221.58,-55.03,90.0,bottom
D11,240.63,-55.56,90.0,bottom
D12,242.93,-55.56,90.0,bottom
D13,50.18,-74.03,90.0,bottom
D14,67.93,-63.45,90.0,bottom
D15,88.23,-74.03,90.0,bottom
D16,107.28,-74.03,90.0,bottom
D17,126.33,-74.03,90.0,bottom
D18,145.38,-74.03,90.0,bottom
D19,164.43,-74.03,90.0,bottom
D2,65.81,-63.45,90.0,bottom
D20,183.48,-74.03,90.0,bottom
D21,202.53,-74.03,90.0,bottom
D22,221.58,-74.03,90.0,bottom
D23,240.63,-74.56,90.0,bottom
D24,242.93,-74.57,90.0,bottom
D25,50.13,-93.08,90.0,bottom
D26,69.18,-93.08,90.0,bottom
D27,88.23,-93.08,90.0,bottom
D28,107.28,-93.08,90.0,bottom
D29,126.33,-93.08,90.0,bottom
D3,85.6,-49.92,90.0,bottom
D30,145.38,-93.08,90.0,bottom
D31,164.43,-93.08,90.0,bottom
D32,183.48,-93.08,90.0,bottom
D33,202.53,-93.08,90.0,bottom
D34,221.58,-93.08,90.0,bottom
D35,240.63,-93.61,90.0,bottom
D36,242.93,-93.61,90.0,bottom
D37,50.13,-112.03,90.0,bottom
D38,69.18,-112.03,90.0,bottom
D39,88.23,-112.03,90.0,bottom
D4,107.28,-55.03,90.0,bottom
D40,106.53,-113.03,90.0,bottom
D41,108.83,-113.03,90.0,bottom
D42,111.13,-113.03,90.0,bottom
D43,182.98,-113.03,90.0,bottom
D44,185.28,-113.03,90.0,bottom
D45,202.53,-112.03,90.0,bottom
D46,221.58,-112.03,90.0,bottom
D47,240.63,-112.56,90.0,bottom
D48,242.93,-112.5625,90.0,bottom
D49,50.13,-131.08,90.0,bottom
D5,126.33,-55.03,90.0,bottom
D50,69.18,-131.08,90.0,bottom
D51,88.23,-131.08,90.0,bottom
D52,106.53,-132.08,90.0,bottom
D53,111.13,-132.08,90.0,bottom
D54,108.83,-132.08,90.0,bottom
D55,183.48,-132.08,90.0,bottom
D56,185.78,-132.08,90.0,bottom
D57,202.53,-131.08,90.0,bottom
D58,221.58,-131.08,90.0,bottom
D59,240.63,-131.61,90.0,bottom
D6,145.38,-55.03,90.0,bottom
D60,242.94,-131.61,90.0,bottom
D7,164.43,-55.03,90.0,bottom
D8,183.48,-55.03,90.0,bottom
D9,202.53,-55.03,90.0,bottom
F1,58.45,-48.95,90.0,bottom
FB1,62.05,-50.86,0.0,bottom
FB2,76.89,-50.46,270.0,bottom
R1,69.07,-53.45,180.0,bottom
R10,59.02,-80.61,0.0,bottom
R2,72.98,-53.82,270.0,bottom
R3,58.98,-77.26,180.0,bottom
R4,74.62,-83.89,180.0,bottom
R5,71.77,-54.07,90.0,bottom
R6,70.77,-54.06,90.0,bottom
R7,76.075,-82.55,270.0,bottom
SW67,42.18,-82.53,180.0,bottom
SW68,80.18,-82.53,180.0,bottom
U1,50.04,-56.93,90.0,bottom
U2,72.94,-81.56,90.0,bottom
U3,65.3775,-79.41,180.0,bottom
U4,54.93,-49.16,180.0,bottom
U5,62.44,-48.43,180.0,bottom
USB1,70.68,-48.492,180.0,bottom
Y1,57.8,-82.78,90.0,bottom
